employee_id,job_title,department,location,cost_center,shift,manager_id
EMP_00077,Engenheiro de Dados,Jurídico,Belo Horizonte,CC020,Morning,EMP_00548
EMP_00078,Consultor de BI,TI,Curitiba,CC008,Morning,EMP_00858
EMP_00079,Desenvolvedor Python,Marketing,São Paulo,CC048,Morning,EMP_00730
EMP_00080,Desenvolvedor Python,Vendas,São Paulo,CC003,Morning,EMP_00372
EMP_00081,Estagiário,Vendas,Porto Alegre,CC031,Morning,EMP_00107
EMP_00082,Analista de Dados,TI,Belo Horizonte,CC050,Morning,EMP_00518
EMP_00083,Analista de Dados,Operações,Salvador,CC042,Afternoon,EMP_00049
EMP_00084,Diretor de Operações,Jurídico,Belo Horizonte,CC006,Morning,EMP_00864
EMP_00085,Diretor de Operações,TI,Porto Alegre,CC042,Morning,EMP_00823
EMP_00086,Coordenador de TI,TI,Salvador,CC030,Morning,EMP_00277
EMP_00087,Analista Financeiro,Vendas,Porto Alegre,CC001,Night,EMP_00088
EMP_00088,Engenheiro de Dados,Jurídico,Porto Alegre,CC045,Morning,EMP_00619
EMP_00089,Gerente de RH,Vendas,Curitiba,CC013,Afternoon,EMP_00179
EMP_00090,Coordenador de TI,Recursos Humanos,São Paulo,CC045,Afternoon,EMP_00262
EMP_00091,Analista de Dados,TI,São Paulo,CC008,Night,EMP_00934
EMP_00092,Engenheiro de Dados,Financeiro,Porto Alegre,CC008,Morning,EMP_00521
EMP_00093,Gerente de RH,Financeiro,Porto Alegre,CC023,Afternoon,EMP_00182
EMP_00094,Consultor de BI,Jurídico,Porto Alegre,CC011,Morning,EMP_00764
EMP_00095,Analista de Dados,Jurídico,Rio de Janeiro,CC002,Morning,EMP_00096
EMP_00096,Consultor de BI,TI,Salvador,CC035,Morning,EMP_00507
EMP_00097,Analista Financeiro,Recursos Humanos,Belo Horizonte,CC044,Morning,EMP_00290
EMP_00098,Desenvolvedor Python,Recursos Humanos,São Paulo,CC024,Morning,EMP_00538
EMP_00099,Diretor de Operações,TI,Rio de Janeiro,CC031,Morning,EMP_00329
EMP_00100,Analista de Dados,Marketing,São Paulo,CC003,Night,EMP_00439
EMP_00101,Coordenador de TI,Vendas,Porto Alegre,CC050,Morning,EMP_00950
EMP_00102,Coordenador de TI,Operações,Belo Horizonte,CC037,Morning,EMP_00429
EMP_00103,Coordenador de TI,Recursos Humanos,Rio de Janeiro,CC011,Morning,EMP_00745
EMP_00104,Consultor de BI,Jurídico,Fortaleza,CC042,Afternoon,EMP_00538
EMP_00105,Coordenador de TI,Operações,Rio de Janeiro,CC021,Night,EMP_00644
EMP_00106,Consultor de BI,Recursos Humanos,Rio de Janeiro,CC045,Night,EMP_00096
EMP_00107,Consultor de BI,Recursos Humanos,Rio de Janeiro,CC022,Night,EMP_00564
EMP_00108,Engenheiro de Dados,Recursos Humanos,São Paulo,CC008,Afternoon,EMP_00127
EMP_00109,Analista Financeiro,Jurídico,Belo Horizonte,CC010,Morning,EMP_00781
EMP_00110,Gerente de RH,Operações,Curitiba,CC044,Night,EMP_00997
EMP_00111,Estagiário,Financeiro,Fortaleza,CC019,Night,EMP_00014
EMP_00112,Desenvolvedor Python,Financeiro,Curitiba,CC026,Afternoon,EMP_00564
EMP_00113,Consultor de BI,TI,Salvador,CC003,Morning,EMP_00500
EMP_00114,Desenvolvedor Python,Vendas,Salvador,CC044,Morning,EMP_00849
EMP_00115,Gerente de RH,Financeiro,Belo Horizonte,CC047,Morning,EMP_00894
EMP_00116,Estagiário,Vendas,Rio de Janeiro,CC017,Morning,EMP_00818
EMP_00117,Consultor de BI,Jurídico,Curitiba,CC041,Morning,EMP_00131
EMP_00118,Auxiliar Administrativo,Jurídico,Fortaleza,CC017,Afternoon,EMP_00061
EMP_00119,Diretor de Operações,Recursos Humanos,Salvador,CC014,Afternoon,EMP_00219
EMP_00120,Consultor de BI,Financeiro,Belo Horizonte,CC012,Morning,EMP_00388
EMP_00121,Diretor de Operações,Vendas,Porto Alegre,CC017,Morning,EMP_00497
EMP_00122,Analista de Dados,Recursos Humanos,Porto Alegre,CC029,Afternoon,EMP_00605
EMP_00123,Desenvolvedor Python,Operações,Belo Horizonte,CC021,Morning,EMP_00688
EMP_00124,Coordenador de TI,Financeiro,Belo Horizonte,CC020,Afternoon,EMP_00242
EMP_00125,Analista de Dados,TI,Rio de Janeiro,CC014,Morning,EMP_00665
EMP_00126,Engenheiro de Dados,Vendas,Salvador,CC040,Morning,EMP_00824
EMP_00127,Auxiliar Administrativo,Recursos Humanos,São Paulo,CC031,Night,EMP_00971
EMP_00128,Diretor de Operações,TI,Fortaleza,CC023,Afternoon,EMP_00353
EMP_00129,Gerente de RH,Operações,Curitiba,CC010,Morning,EMP_00572
EMP_00130,Analista Financeiro,Marketing,Salvador,CC026,Morning,EMP_00334
EMP_00131,Engenheiro de Dados,Operações,Fortaleza,CC024,Morning,EMP_00204
EMP_00132,Auxiliar Administrativo,TI,Rio de Janeiro,CC030,Afternoon,EMP_00819
EMP_00133,Engenheiro de Dados,TI,Belo Horizonte,CC009,Morning,EMP_00897
EMP_00134,Estagiário,TI,Rio de Janeiro,CC019,Morning,EMP_00884
EMP_00135,Engenheiro de Dados,Financeiro,Belo Horizonte,CC045,Night,EMP_00521
EMP_00136,Analista de Dados,Jurídico,Curitiba,CC049,Morning,EMP_00146
EMP_00137,Diretor de Operações,Vendas,São Paulo,CC042,Morning,EMP_00800
EMP_00138,Gerente de RH,Vendas,Fortaleza,CC006,Night,EMP_00093
EMP_00139,Diretor de Operações,Operações,Porto Alegre,CC036,Morning,EMP_00729
EMP_00140,Auxiliar Administrativo,Operações,Belo Horizonte,CC005,Afternoon,EMP_00618
EMP_00141,Auxiliar Administrativo,Recursos Humanos,Rio de Janeiro,CC024,Night,EMP_00045
EMP_00142,Engenheiro de Dados,Jurídico,Salvador,CC044,Afternoon,EMP_00537
EMP_00143,Auxiliar Administrativo,Financeiro,Fortaleza,CC013,Afternoon,EMP_00672
EMP_00144,Diretor de Operações,Vendas,Fortaleza,CC034,Morning,EMP_00301
EMP_00145,Gerente de RH,TI,Fortaleza,CC006,Morning,EMP_00706
EMP_00146,Auxiliar Administrativo,Vendas,Curitiba,CC047,Afternoon,EMP_00730
EMP_00147,Consultor de BI,Operações,Fortaleza,CC026,Morning,EMP_00963
EMP_00148,Desenvolvedor Python,Vendas,Rio de Janeiro,CC030,Afternoon,EMP_00487
EMP_00149,Consultor de BI,Jurídico,Curitiba,CC038,Morning,EMP_00884
EMP_00150,Analista de Dados,Recursos Humanos,Curitiba,CC027,Afternoon,EMP_00718
EMP_00151,Estagiário,Vendas,Curitiba,CC048,Afternoon,EMP_00713
EMP_00152,Engenheiro de Dados,Financeiro,Curitiba,CC004,Morning,EMP_00360
EMP_00153,Consultor de BI,Marketing,Belo Horizonte,CC035,Night,EMP_00141
EMP_00154,Estagiário,Jurídico,Fortaleza,CC035,Afternoon,EMP_00796
EMP_00155,Coordenador de TI,Jurídico,Porto Alegre,CC022,Afternoon,EMP_00585
EMP_00156,Engenheiro de Dados,Vendas,Fortaleza,CC036,Morning,EMP_00516
EMP_00157,Estagiário,Financeiro,São Paulo,CC022,Night,EMP_00025
EMP_00158,Analista Financeiro,TI,Porto Alegre,CC001,Night,EMP_00691
EMP_00159,Consultor de BI,Jurídico,Belo Horizonte,CC021,Morning,EMP_00628
EMP_00160,Coordenador de TI,Operações,Porto Alegre,CC016,Morning,EMP_00368
EMP_00161,Estagiário,TI,São Paulo,CC027,Morning,EMP_00551
EMP_00162,Coordenador de TI,Vendas,Rio de Janeiro,CC025,Morning,EMP_00999
EMP_00163,Estagiário,Recursos Humanos,Porto Alegre,CC016,Morning,EMP_00667
EMP_00164,Coordenador de TI,Recursos Humanos,Rio de Janeiro,CC015,Afternoon,EMP_00243
EMP_00165,Desenvolvedor Python,Financeiro,Fortaleza,CC032,Afternoon,EMP_00636
EMP_00166,Analista de Dados,Recursos Humanos,Porto Alegre,CC046,Morning,EMP_00046
EMP_00167,Engenheiro de Dados,Vendas,Belo Horizonte,CC004,Afternoon,EMP_00110
EMP_00168,Coordenador de TI,Marketing,Curitiba,CC008,Afternoon,EMP_00715
EMP_00169,Analista de Dados,Recursos Humanos,Fortaleza,CC012,Morning,EMP_00090
EMP_00170,Coordenador de TI,Vendas,Fortaleza,CC015,Afternoon,EMP_00850
EMP_00171,Analista Financeiro,Marketing,Porto Alegre,CC037,Morning,EMP_00722
EMP_00172,Consultor de BI,Recursos Humanos,Belo Horizonte,CC044,Afternoon,EMP_00313
EMP_00173,Analista Financeiro,Recursos Humanos,Fortaleza,CC012,Afternoon,EMP_00014
EMP_00174,Analista Financeiro,Financeiro,Salvador,CC040,Morning,EMP_00471
EMP_00175,Engenheiro de Dados,Marketing,Rio de Janeiro,CC040,Afternoon,EMP_00439
EMP_00176,Gerente de RH,Recursos Humanos,Fortaleza,CC015,Morning,EMP_00877
EMP_00177,Desenvolvedor Python,Jurídico,Curitiba,CC003,Afternoon,EMP_00615
EMP_00178,Coordenador de TI,TI,Fortaleza,CC019,Morning,EMP_00371
EMP_00179,Desenvolvedor Python,Financeiro,Fortaleza,CC049,Morning,EMP_00316
EMP_00180,Gerente de RH,TI,São Paulo,CC031,Night,EMP_00575
EMP_00181,Estagiário,Financeiro,Belo Horizonte,CC044,Afternoon,EMP_00250
EMP_00182,Gerente de RH,Vendas,Porto Alegre,CC045,Morning,EMP_00719
EMP_00183,Analista Financeiro,Recursos Humanos,Fortaleza,CC014,Morning,EMP_00505
EMP_00184,Auxiliar Administrativo,Jurídico,Belo Horizonte,CC007,Morning,EMP_00374
EMP_00185,Analista de Dados,TI,Fortaleza,CC043,Morning,EMP_00749
EMP_00186,Estagiário,Vendas,Fortaleza,CC012,Morning,EMP_00082
EMP_00187,Analista Financeiro,Vendas,São Paulo,CC029,Morning,EMP_00884
EMP_00188,Analista de Dados,Vendas,Fortaleza,CC028,Morning,EMP_00844
EMP_00189,Diretor de Operações,Vendas,Curitiba,CC004,Morning,EMP_00427
EMP_00190,Consultor de BI,Jurídico,Fortaleza,CC006,Morning,EMP_00215
EMP_00191,Gerente de RH,Vendas,Porto Alegre,CC045,Morning,EMP_00148
EMP_00192,Estagiário,Recursos Humanos,Porto Alegre,CC010,Morning,EMP_00408
EMP_00193,Gerente de RH,TI,Salvador,CC004,Afternoon,EMP_00188
EMP_00194,Desenvolvedor Python,Jurídico,São Paulo,CC012,Afternoon,EMP_00269
EMP_00195,Engenheiro de Dados,Jurídico,São Paulo,CC047,Morning,EMP_00408
EMP_00196,Auxiliar Administrativo,Jurídico,Porto Alegre,CC050,Morning,EMP_00324
EMP_00197,Coordenador de TI,Recursos Humanos,São Paulo,CC037,Morning,EMP_00981
EMP_00198,Consultor de BI,Financeiro,Curitiba,CC030,Morning,EMP_00910
EMP_00199,Coordenador de TI,Jurídico,Fortaleza,CC018,Morning,EMP_00257
EMP_00200,Analista de Dados,Financeiro,Porto Alegre,CC033,Morning,EMP_00410
EMP_00201,Analista Financeiro,Marketing,Salvador,CC036,Morning,EMP_00926
EMP_00202,Estagiário,Jurídico,Fortaleza,CC005,Afternoon,EMP_00537
EMP_00203,Coordenador de TI,Marketing,Rio de Janeiro,CC010,Night,EMP_00084
EMP_00204,Estagiário,Recursos Humanos,Rio de Janeiro,CC030,Morning,EMP_00118
EMP_00205,Coordenador de TI,Jurídico,Rio de Janeiro,CC015,Morning,EMP_00916
EMP_00206,Auxiliar Administrativo,Recursos Humanos,Belo Horizonte,CC008,Morning,EMP_00600
EMP_00207,Analista Financeiro,Marketing,São Paulo,CC030,Morning,EMP_00456
EMP_00208,Desenvolvedor Python,Vendas,Salvador,CC004,Morning,EMP_00147
EMP_00209,Analista de Dados,Recursos Humanos,Fortaleza,CC035,Morning,EMP_00522
EMP_00210,Engenheiro de Dados,Jurídico,Salvador,CC003,Morning,EMP_00836
EMP_00211,Auxiliar Administrativo,Jurídico,Salvador,CC016,Morning,EMP_00746
EMP_00212,Coordenador de TI,TI,Curitiba,CC046,Morning,EMP_00516
EMP_00213,Gerente de RH,Recursos Humanos,Curitiba,CC013,Morning,EMP_00599
EMP_00214,Coordenador de TI,TI,Belo Horizonte,CC049,Afternoon,EMP_00262
EMP_00215,Gerente de RH,Financeiro,Belo Horizonte,CC013,Afternoon,EMP_00684
EMP_00216,Gerente de RH,Marketing,Curitiba,CC007,Morning,EMP_00649
EMP_00217,Diretor de Operações,Marketing,São Paulo,CC001,Morning,EMP_00756
EMP_00218,Estagiário,Recursos Humanos,Fortaleza,CC003,Afternoon,EMP_00532
EMP_00219,Consultor de BI,Vendas,Porto Alegre,CC009,Morning,EMP_00363
EMP_00220,Diretor de Operações,Vendas,Curitiba,CC021,Afternoon,EMP_00071
EMP_00221,Diretor de Operações,Jurídico,Rio de Janeiro,CC034,Morning,EMP_00235
EMP_00222,Analista Financeiro,Jurídico,Curitiba,CC014,Morning,EMP_00457
EMP_00223,Estagiário,Financeiro,São Paulo,CC002,Morning,EMP_00816
EMP_00224,Coordenador de TI,Recursos Humanos,São Paulo,CC015,Morning,EMP_00416
EMP_00225,Analista de Dados,Recursos Humanos,Salvador,CC037,Night,EMP_00409
EMP_00226,Consultor de BI,Financeiro,Fortaleza,CC046,Morning,EMP_00469
EMP_00227,Coordenador de TI,Vendas,Fortaleza,CC046,Night,EMP_00842
EMP_00228,Engenheiro de Dados,TI,Fortaleza,CC041,Morning,EMP_00344
EMP_00229,Analista Financeiro,Financeiro,Belo Horizonte,CC043,Afternoon,EMP_00162
EMP_00230,Auxiliar Administrativo,Operações,Curitiba,CC011,Morning,EMP_00900
EMP_00231,Engenheiro de Dados,Marketing,Fortaleza,CC002,Morning,EMP_00274
EMP_00232,Diretor de Operações,Vendas,Salvador,CC024,Morning,EMP_00027
EMP_00233,Desenvolvedor Python,TI,Rio de Janeiro,CC003,Morning,EMP_00615
EMP_00234,Auxiliar Administrativo,TI,Belo Horizonte,CC001,Morning,EMP_00100
EMP_00235,Coordenador de TI,Financeiro,Belo Horizonte,CC025,Afternoon,EMP_00090
EMP_00236,Analista Financeiro,Jurídico,Belo Horizonte,CC043,Afternoon,EMP_00534
EMP_00237,Analista de Dados,Operações,Rio de Janeiro,CC006,Morning,EMP_00662
EMP_00238,Gerente de RH,Vendas,Rio de Janeiro,CC019,Afternoon,EMP_00911
EMP_00239,Diretor de Operações,Operações,Curitiba,CC044,Morning,EMP_00801
EMP_00240,Gerente de RH,Vendas,Belo Horizonte,CC044,Morning,EMP_00488
EMP_00241,Estagiário,Marketing,Fortaleza,CC024,Morning,EMP_00343
EMP_00242,Engenheiro de Dados,Jurídico,Porto Alegre,CC033,Morning,EMP_00661
EMP_00243,Estagiário,Jurídico,Belo Horizonte,CC039,Afternoon,EMP_00113
EMP_00244,Gerente de RH,TI,Fortaleza,CC006,Afternoon,EMP_00659
EMP_00245,Analista Financeiro,Vendas,São Paulo,CC013,Morning,EMP_00785
EMP_00246,Coordenador de TI,Financeiro,Porto Alegre,CC048,Morning,EMP_00566
EMP_00247,Auxiliar Administrativo,TI,Fortaleza,CC020,Afternoon,EMP_00077
EMP_00248,Analista de Dados,Operações,São Paulo,CC048,Morning,EMP_00999
EMP_00249,Estagiário,Marketing,Fortaleza,CC023,Afternoon,EMP_00934
EMP_00250,Consultor de BI,Marketing,Curitiba,CC005,Afternoon,EMP_00273
EMP_00251,Analista de Dados,TI,Fortaleza,CC022,Morning,EMP_00153
EMP_00252,Estagiário,TI,Porto Alegre,CC021,Morning,EMP_00614
EMP_00253,Coordenador de TI,Marketing,Belo Horizonte,CC010,Morning,EMP_00611
EMP_00254,Consultor de BI,Recursos Humanos,Curitiba,CC023,Morning,EMP_00932
EMP_00255,Estagiário,Vendas,São Paulo,CC023,Night,EMP_00601
EMP_00256,Engenheiro de Dados,Vendas,Porto Alegre,CC039,Morning,EMP_00613
EMP_00257,Consultor de BI,TI,Belo Horizonte,CC009,Morning,EMP_00693
EMP_00258,Engenheiro de Dados,Jurídico,São Paulo,CC022,Morning,EMP_00154
EMP_00259,Auxiliar Administrativo,Operações,Salvador,CC037,Afternoon,EMP_00215
EMP_00260,Coordenador de TI,Operações,Belo Horizonte,CC001,Afternoon,EMP_00775
EMP_00261,Analista de Dados,TI,Belo Horizonte,CC033,Afternoon,EMP_00383
EMP_00262,Engenheiro de Dados,Operações,Curitiba,CC028,Morning,EMP_00681
EMP_00263,Consultor de BI,Operações,Salvador,CC007,Morning,EMP_00483
EMP_00264,Engenheiro de Dados,Marketing,Porto Alegre,CC033,Morning,EMP_00953
EMP_00265,Auxiliar Administrativo,Marketing,Rio de Janeiro,CC019,Morning,EMP_00117
EMP_00266,Analista de Dados,Financeiro,Fortaleza,CC047,Morning,EMP_00054
EMP_00267,Diretor de Operações,Marketing,Curitiba,CC018,Morning,EMP_00223
EMP_00268,Auxiliar Administrativo,Recursos Humanos,Porto Alegre,CC006,Afternoon,EMP_00272
EMP_00269,Desenvolvedor Python,TI,Rio de Janeiro,CC041,Morning,EMP_00416
EMP_00270,Analista de Dados,Financeiro,Belo Horizonte,CC013,Afternoon,EMP_00198
EMP_00271,Gerente de RH,Recursos Humanos,Fortaleza,CC004,Morning,EMP_00473
EMP_00272,Diretor de Operações,Vendas,Fortaleza,CC036,Morning,EMP_00384
EMP_00273,Desenvolvedor Python,Marketing,Curitiba,CC031,Morning,EMP_00119
EMP_00274,Auxiliar Administrativo,Financeiro,Fortaleza,CC014,Morning,EMP_00933
EMP_00275,Gerente de RH,Marketing,Rio de Janeiro,CC019,Morning,EMP_00308
EMP_00276,Analista de Dados,Operações,Curitiba,CC023,Morning,EMP_00211
EMP_00277,Analista de Dados,Recursos Humanos,Salvador,CC046,Night,EMP_00819
EMP_00278,Engenheiro de Dados,Recursos Humanos,Salvador,CC018,Morning,EMP_00670
EMP_00279,Estagiário,Marketing,Fortaleza,CC006,Morning,EMP_00246
EMP_00280,Diretor de Operações,Financeiro,Belo Horizonte,CC032,Morning,EMP_00177
EMP_00281,Consultor de BI,Financeiro,Belo Horizonte,CC016,Morning,EMP_00903
EMP_00282,Analista Financeiro,Vendas,Rio de Janeiro,CC001,Morning,EMP_00958
EMP_00283,Analista Financeiro,Financeiro,Curitiba,CC032,Morning,EMP_00890
EMP_00284,Analista Financeiro,Operações,Fortaleza,CC032,Afternoon,EMP_00175
EMP_00285,Auxiliar Administrativo,Recursos Humanos,Rio de Janeiro,CC014,Morning,EMP_00576
EMP_00286,Auxiliar Administrativo,Vendas,Rio de Janeiro,CC037,Morning,EMP_00577
EMP_00287,Auxiliar Administrativo,TI,Belo Horizonte,CC034,Afternoon,EMP_00689
EMP_00288,Auxiliar Administrativo,TI,Fortaleza,CC049,Morning,EMP_00107
EMP_00289,Engenheiro de Dados,Jurídico,Fortaleza,CC044,Morning,EMP_00698
EMP_00290,Consultor de BI,Operações,São Paulo,CC040,Morning,EMP_00953
EMP_00291,Analista Financeiro,TI,Salvador,CC044,Morning,EMP_00770
EMP_00292,Engenheiro de Dados,Recursos Humanos,Belo Horizonte,CC046,Morning,EMP_00418
EMP_00293,Diretor de Operações,Financeiro,Belo Horizonte,CC016,Afternoon,EMP_00725
EMP_00294,Auxiliar Administrativo,Operações,Salvador,CC011,Morning,EMP_00254
EMP_00295,Diretor de Operações,TI,Belo Horizonte,CC018,Morning,EMP_00741
EMP_00296,Auxiliar Administrativo,TI,São Paulo,CC014,Morning,EMP_00607
EMP_00297,Analista Financeiro,Recursos Humanos,Curitiba,CC002,Morning,EMP_00420
EMP_00298,Analista Financeiro,Vendas,Rio de Janeiro,CC029,Afternoon,EMP_00803
EMP_00299,Engenheiro de Dados,TI,São Paulo,CC049,Morning,EMP_00078
EMP_00300,Diretor de Operações,Recursos Humanos,Salvador,CC005,Afternoon,EMP_00903
EMP_00301,Desenvolvedor Python,Operações,Rio de Janeiro,CC030,Afternoon,EMP_00441
EMP_00302,Engenheiro de Dados,TI,Rio de Janeiro,CC041,Afternoon,EMP_00011
EMP_00303,Consultor de BI,Financeiro,Curitiba,CC031,Morning,EMP_00958
EMP_00304,Auxiliar Administrativo,TI,São Paulo,CC016,Morning,EMP_00459
EMP_00305,Coordenador de TI,Recursos Humanos,Belo Horizonte,CC034,Morning,EMP_00549
EMP_00306,Coordenador de TI,TI,Salvador,CC027,Morning,EMP_00942
EMP_00307,Auxiliar Administrativo,Financeiro,São Paulo,CC029,Morning,EMP_00956
EMP_00308,Analista Financeiro,Jurídico,Rio de Janeiro,CC041,Morning,EMP_00743
EMP_00309,Engenheiro de Dados,Jurídico,Salvador,CC010,Morning,EMP_00672
EMP_00310,Desenvolvedor Python,Financeiro,São Paulo,CC047,Morning,EMP_00261
EMP_00311,Analista de Dados,TI,Curitiba,CC048,Night,EMP_00922
EMP_00312,Diretor de Operações,TI,Rio de Janeiro,CC029,Morning,EMP_00948
EMP_00313,Auxiliar Administrativo,Recursos Humanos,Salvador,CC008,Afternoon,EMP_00991
EMP_00314,Analista de Dados,Recursos Humanos,Fortaleza,CC022,Night,EMP_00999
